prompt,subject,complexity,factors,art_style,resolution
A magician in De Stijl style In 8k resolution,A magician,3C3,subject+art_style+resolution,De Stijl,In 8k resolution
A magician in Expressionism style In 8k resolution,A magician,3C3,subject+art_style+resolution,Expressionism,In 8k resolution
A magician in Baroque style In 8k resolution,A magician,3C3,subject+art_style+resolution,Baroque,In 8k resolution
A magician in Futurism style In 8k resolution,A magician,3C3,subject+art_style+resolution,Futurism,In 8k resolution
A magician in Photorealism style In 8k resolution,A magician,3C3,subject+art_style+resolution,Photorealism,In 8k resolution
A magician in Conceptual Art style In 8k resolution,A magician,3C3,subject+art_style+resolution,Conceptual Art,In 8k resolution
A magician in Islamic Art style In 8k resolution,A magician,3C3,subject+art_style+resolution,Islamic Art,In 8k resolution
A magician in Art Nouveau style In 8k resolution,A magician,3C3,subject+art_style+resolution,Art Nouveau,In 8k resolution
An alien in De Stijl style In 8k resolution,An alien,3C3,subject+art_style+resolution,De Stijl,In 8k resolution
An alien in Expressionism style In 8k resolution,An alien,3C3,subject+art_style+resolution,Expressionism,In 8k resolution
An alien in Baroque style In 8k resolution,An alien,3C3,subject+art_style+resolution,Baroque,In 8k resolution
An alien in Futurism style In 8k resolution,An alien,3C3,subject+art_style+resolution,Futurism,In 8k resolution
An alien in Photorealism style In 8k resolution,An alien,3C3,subject+art_style+resolution,Photorealism,In 8k resolution
An alien in Conceptual Art style In 8k resolution,An alien,3C3,subject+art_style+resolution,Conceptual Art,In 8k resolution
An alien in Islamic Art style In 8k resolution,An alien,3C3,subject+art_style+resolution,Islamic Art,In 8k resolution
An alien in Art Nouveau style In 8k resolution,An alien,3C3,subject+art_style+resolution,Art Nouveau,In 8k resolution
